schema_version,finding_id,run_id,rule_id,category,severity,source_marker,sink_kind,sink_value,evidence_seq_start,evidence_seq_end,summary
1,finding:v1:2edcd99f7cb57ad42405d29a8fa228b30bc563141af543fea1bc951cf2777a5d,run_0aedc64c1e11fdfea19f3463,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7feb8407d000 length uint64 114688 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 16384 6 9129 a8f996a0e608552433835716cf9633c2cd53a5513ea5b6c081ad4a3e812d4130 skillsissue-sandbox:local skillsissue-target-run_0aedc64c1e11fdfea19f3463 a8f996a0e608552433835716cf9633c2cd53a5513ea5b6c081ad4a3e812d4130 9 mmap  a8f996a0e608 20733 21351 21351 skillsissue-detonation 4026532401 1842083185 1 4026532404 1235230181 61 python3 0 140649509146624 detonation mmap 1235230181 61 1785489246609157768 1785489246610724121 65532,407,407,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2ef66e2182a5cb268a652ec2ea0cf48a8d59c942c3f2bed77aaff6f0319277eb,run_fedd5d5ad47024e4af7653f1,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fe96415b000 length uint64 114688 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 16384 6 9329 1f7defc06561028722adc2c4e008f5e7540b7b6a47e190bdf158fea0ed5f5d23 skillsissue-sandbox:local skillsissue-target-run_fedd5d5ad47024e4af7653f1 1f7defc06561028722adc2c4e008f5e7540b7b6a47e190bdf158fea0ed5f5d23 9 mmap  1f7defc06561 20928 21559 21559 skillsissue-detonation 4026532401 1238997244 1 4026532404 819542750 67 python3 1 140640383250432 detonation mmap 819542750 67 1785506378192395721 1785506378193555937 65532,2122,2122,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2f1cfd4fc6ceee960b332db62e3910f47fe600694917a07edb8666ca67d03baa,run_66e83be9ddc6619fedbbb470,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f3fe8e3f000 length uint64 1400832 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 155648 6 9584 07caffc0c123bc44705d8b81b3f74f07af8bc3cb2daef881a3cbabff30832b53 skillsissue-sandbox:local skillsissue-target-run_66e83be9ddc6619fedbbb470 07caffc0c123bc44705d8b81b3f74f07af8bc3cb2daef881a3cbabff30832b53 9 mmap  07caffc0c123 23788 23790 23790 skillsissue-detonation 4026532400 86334530 92 4026532403 2809583152 94 find 3 139912466919424 detonation mmap 2809583152 94 1785511595549860083 1785511595551055450 65532,2516,2516,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2f3ae8c32ff5c2db7c6d6003079d324d82c01ef2fff72995170d8786279e145d,run_4b3b093ab1110c1e48576ba0,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f0a5bd6f000 length uint64 28672 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 9448 a7e3d48774a850e250476a81ed39f0c8d5edbec0e15edd843b8b9f15bd3cf8c1 skillsissue-sandbox:local skillsissue-target-run_4b3b093ab1110c1e48576ba0 a7e3d48774a850e250476a81ed39f0c8d5edbec0e15edd843b8b9f15bd3cf8c1 9 mmap  a7e3d48774a8 22413 22756 22756 skillsissue-detonation 4026532447 3601029855 1 4026532450 1344376263 31 python3 3 139682467213312 detonation mmap 1344376263 31 1785511574423547902 1785511574442490676 65532,1165,1165,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2f5546aed2e3ed654b333c397288b72de2d5b515a281ed14137a71156ee4f564,run_e16639c58e151d4400255ce2,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fc7cc274000 length uint64 118784 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 16384 6 9304 d5289cf37afcff3ff98f0cd3077a70c175af537da7d0667022a12229d32b093a skillsissue-sandbox:local skillsissue-target-run_e16639c58e151d4400255ce2 d5289cf37afcff3ff98f0cd3077a70c175af537da7d0667022a12229d32b093a 9 mmap  d5289cf37afc 20688 21299 21299 skillsissue-detonation 4026532401 772224681 1 4026532404 2129488018 59 python3 3 140496100343808 detonation mmap 2129488018 59 1785490432042294430 1785490432072277821 65532,1938,1938,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2fa9158f04c2b6d16008ca88d28208eee8847d40ca81a0bf65bd167f428233d5,run_0081ee7c8c9f451881e98edf,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f067c42c000 length uint64 8192 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 9953 00704d92c4b77765e5dc378bdc272658c2888775bc2120f4978731ca484ae59e skillsissue-sandbox:local skillsissue-target-run_0081ee7c8c9f451881e98edf 00704d92c4b77765e5dc378bdc272658c2888775bc2120f4978731ca484ae59e 9 mmap  00704d92c4b7 24833 24834 24834 skillsissue-detonation 4026532401 2063440300 73 4026532405 1445321788 74 curl 0 139665831280640 detonation mmap 1445321788 74 1785511617994742156 1785511617996975189 65532,1739,1739,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2faebaf61810aac52ed17359c7ea46ed3875821b6e0095af8d56de77f812137e,run_138b17f572759ac95d7fb006,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f17e8e89000 length uint64 77824 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 12288 6 9118 0948bb74d309c9eae4a960f58ff7e7e654b226191c7711b4858fca385f6a6018 skillsissue-sandbox:local skillsissue-target-run_138b17f572759ac95d7fb006 0948bb74d309c9eae4a960f58ff7e7e654b226191c7711b4858fca385f6a6018 9 mmap  0948bb74d309 21329 21330 21330 skillsissue-detonation 4026532400 1554908792 70 4026532403 1094236991 71 python 0 139740668530688 detonation mmap 1094236991 71 1785511562987843866 1785511562988638801 65532,1262,1262,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:2ff92ea2f4dc4ccd6b63c471e7fd82b3ff8554062a333a0a8d806581e8d2553a,run_67638929bad0d949aadfd143,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fe59a7f9000 length uint64 28672 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 9018 05b258e08ae1afe3a4194303a41b1485938f0139eeae662f4ff4a5c811e524af skillsissue-sandbox:local skillsissue-target-run_67638929bad0d949aadfd143 05b258e08ae1afe3a4194303a41b1485938f0139eeae662f4ff4a5c811e524af 9 mmap  05b258e08ae1 20726 21352 21352 skillsissue-detonation 4026532401 2309558316 1 4026532404 2412807554 62 python3 0 140624116289536 detonation mmap 2412807554 62 1785511571410140201 1785511571437023787 65532,826,826,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:3000f7553f71311b6cadf5f620ab8b47442db7ecebc5ec707f3aee77162f6dbf,run_e9a0b5f68a2e6f58e9231740,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7f6efa052000 length uint64 475136 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 65536 6 9867 7e84944e27d41fdf8e1f2d832bda6c56671ae0dee101e21b3a87939e525c3b9d skillsissue-sandbox:local skillsissue-target-run_e9a0b5f68a2e6f58e9231740 7e84944e27d41fdf8e1f2d832bda6c56671ae0dee101e21b3a87939e525c3b9d 9 mmap  7e84944e27d4 24734 24735 24735 skillsissue-detonation 4026532401 4023427433 61 4026532404 4179649299 62 python 3 140114617769984 detonation mmap 4179649299 62 1785511596593974677 1785511596594627124 65532,372,372,"Observed process injection, executable anonymous memory, or memory-resident execution"
1,finding:v1:302729063314cdfc117a26eedfb7de1d2593f89586a5b598594dc4b93d1b012a,run_3858c8d9e069a8b0a332d43e,behavior.process_injection_or_memory_execution,behavioral,critical,skill,process-memory,addr trace.Pointer 0x7fce91bed000 length uint64 4096 prot string PROT_READ|PROT_EXEC flags int32 2066 fd int32 3 off int64 8192 6 9967 f5495ce3e06469ceff23612c0e27d368dbb9073303432ec67b6ea0384a0737b4 skillsissue-sandbox:local skillsissue-target-run_3858c8d9e069a8b0a332d43e f5495ce3e06469ceff23612c0e27d368dbb9073303432ec67b6ea0384a0737b4 9 mmap  f5495ce3e064 24935 24936 24936 skillsissue-detonation 4026532401 3687272787 67 4026532404 461227857 68 python 0 140525185191936 detonation mmap 461227857 68 1785511587736936413 1785511587804064084 65532,1497,1497,"Observed process injection, executable anonymous memory, or memory-resident execution"
